Country,YearMon,Region,Load,NetIM,Nuclear,NRenew,Renew,DAPrice,treat,AvgTemp,MaxTemp,MinTemp,winter,summer,Population,HDD,CDD,MarketIDX,CPI,GDP
AT,Jan 2019,CWE,24866.4012,2456.51436,0,7213.9644,13982.34432,56.61287634408602,1,-2.0367171091604286,1.0422380720808344,-5.11151996541849,1,0,8932664,625.35,0,NA,105.62,NA
AT,Feb 2019,CWE,21656.1864,2725.93768,0,5906.0436,11865.23896,46.63353422619048,1,2.4233007393274506,7.672631012203877,-2.8445262024407754,1,0,8932664,441.02,0,NA,105.61,NA
AT,Mar 2019,CWE,22350.8232,1341.62572,0,3378.6712,16495.24712,36.09997983870968,1,6.141154923507865,11.659604367095449,0.575051345800454,0,1,8932664,382.63,0,NA,106.81,NA
AT,Apr 2019,CWE,19513.0264,-1241.35092,0,2706.9908,17062.83,39.35218402777778,1,9.303088480801335,14.645572305974317,3.907208263539922,0,1,8932664,272.76,0,NA,107.12,NA
AT,May 2019,CWE,20439.834,-549.00092,0,827.2776,19465.25672,39.82264784946236,1,10.239223300970874,14.699518346141359,5.72756791860591,0,1,8932664,248.64,0,NA,107.18,NA
AT,Jun 2019,CWE,18968.0296,-2264.96024,0,1231.798,19116.1584,33.62403472222222,1,20.26438684503902,26.868523489932887,13.607628635346757,0,1,8932664,14.96,15.69,NA,107.11,NA
AT,Jul 2019,CWE,19865.172,1073.58708,0,2678.4284000000002,14839.66992,39.654852150537636,1,19.537377279102387,25.51163671790431,13.512984412210436,0,1,8932664,24.24,15.94,NA,106.26,99943.7
AT,Aug 2019,CWE,19383.7188,1587.4082,0,3061.5332,13552.14992,37.79604166666667,1,19.481088964511425,25.00508860347911,13.91026613908613,0,1,8932664,19.78,8.05,NA,106.34,NA
AT,Sep 2019,CWE,19376.7636,2379.63028,0,4023.3872,11927.0188,37.837211805555555,1,14.480340401785716,19.557463480158955,9.355438557186066,1,0,8932664,107.88,0.48,NA,107.42,NA
AT,Oct 2019,CWE,21017.134000000002,3723.68416,0,5688.4688,10772.06112,39.48906586021506,1,10.762619549359702,15.707101104135095,5.780914211438475,1,0,8932664,230.26,0,NA,107.72,99878
AT,Nov 2019,CWE,21843.5352,2060.40316,0,5755.0852,13079.4228,42.534618055555555,1,5.06108882202162,8.088706434316354,1.9980372420734778,1,0,8932664,394,0,NA,107.92,NA
AT,Dec 2019,CWE,23060.2896,4352.82676,0,5714.9244,12221.53032,37.28469758064516,1,1.4675534492972158,4.857988869076566,-1.9400335008375211,1,0,8932664,517.98,0,NA,108.69,NA
AT,Jan 2020,CWE,23925.9116,4403.30468,0,7980.6868,9636.02432,40.17133064516129,1,0.14635683127793636,4.026546712054898,-3.7408386016102018,1,0,8932664,554.71,0,NA,107.91,97837.8
AT,Feb 2020,CWE,21795.6292,1769.60124,0,4600.7572,14679.629280000001,29.887737068965517,1,3.7730182488054806,8.493455784670479,-0.988603939236412,1,0,8932664,425.54,0,NA,107.92,NA
AT,Mar 2020,CWE,21268.9992,1448.29216,0,4428.2708,14218.63272,26.29579301075269,1,4.6643571312760095,9.837855864649423,-0.5457187788080907,0,1,8932664,430.05,0,NA,108.5,NA
AT,Apr 2020,CWE,17381.9064,1545.93516,0,1852.384,12818.3068,19.192180555555556,1,10.094663235623182,17.439543107319263,2.6989503816793894,0,1,8932664,248.88,0,NA,108.75,88135.4
AT,May 2020,CWE,18143.0456,-187.6696,0,553.0092,16936.13952,18.4771438172043,1,12.075123139377538,17.539569869114214,6.5620159669798515,0,1,8932664,188.9,0,NA,107.81,NA
AT,Jun 2020,CWE,18029.316,-1732.03288,0,581.3944,18088.8676,26.433336805555555,1,16.216051454138704,21.26815375982043,11.111178451178452,0,1,8932664,68.25,0.86,NA,108.25,NA
AT,Jul 2020,CWE,19187.2268,-1374.2652,0,1982.0184,17222.195920000002,32.7324563172043,1,18.441134444684998,24.42227109807755,12.408765070055393,0,1,8932664,33.24,4.31,NA,108.14,97968.3
AT,Aug 2020,CWE,18989.9124,-590.28728,0,1820.4528,16306.88312,35.06773185483871,1,19.272175800325556,24.66043764629035,13.833899597081565,0,1,8932664,24.45,4.78,NA,107.82,NA
AT,Sep 2020,CWE,19420.2572,304.68528,0,1791.9732,15622.984,45.14969791666667,1,15.005852403066077,20.21211152249523,9.749275769144397,1,0,8932664,95.24,0.05,NA,108.67,NA
AT,Oct 2020,CWE,21335.4592,268.43268,0,3437.8416,16649.30072,35.96767137096774,1,8.896032261556783,12.905774548609228,4.842727716595237,1,0,8932664,288.94,0,NA,108.93,96464.3
AT,Nov 2020,CWE,21843.8124,3149.42984,0,4946.8304,12218.046,40.3446875,1,4.343561536743355,7.9636892769196335,0.6912263992380526,1,0,8932664,415.61,0,NA,109.13,NA
AT,Dec 2020,CWE,22910.5388,4372.7233,0,6105.6556,11094.91352,49.563165322580645,1,0.5328244274809161,3.065147265077139,-2.0130636461704423,1,0,8932664,548.98,0,NA,109.79,NA
AT,Jan 2021,CWE,23214.3192,5591.25347,0,6041.438,10204.44192,57.23236559139785,1,-1.8740161290322581,1.2664742690689397,-5.0115816161398214,1,0,8932664,618.7,0,NA,109.05,96091.2
AT,Feb 2021,CWE,20824.9528,2915.4995,0,4787.7176,11537.58296,51.05787574404762,1,1.9372142857142858,6.717689918776876,-2.86559364548495,1,0,8932664,458.26,0,NA,109.4,NA
AT,Mar 2021,CWE,22410.452,4856.70678,0,4632.8144,11396.14432,53.98448924731183,1,3.604623655913979,8.947626496925235,-1.7722300140252456,0,1,8932664,456.81,0,NA,110.69,NA
AT,Apr 2021,CWE,20170.7352,3154.4424,0,3610.6696,12857.351200000001,62.27530902777778,1,6.34435,11.943076923076923,0.7019843924191751,0,1,8932664,366.48,0,NA,110.83,100434.8
AT,May 2021,CWE,19649.3024,-1961.73147,0,1294.8992,19621.88392,56.16849126344086,1,10.804306451612904,15.996358830510305,5.561408997734384,0,1,8932664,235.99,0,NA,111.04,NA
AT,Jun 2021,CWE,19423.123199999998,-1184.05517,0,515.0408,18428.5556,74.94068402777778,1,18.97926490213523,25.397607095046855,12.498595004460304,0,1,8932664,29.63,12.04,NA,111.28,NA
AT,Jul 2021,CWE,20048.698,152.27177,0,524.3096,17908.26312,83.6108938172043,1,19.090781758957657,24.758993354395905,13.374191088353852,0,1,8932664,24.23,8.05,NA,111.18,105396.2
AT,Aug 2021,CWE,20074.5448,-1102.53918,0,435.0984,18269.203120000002,82.82669690860214,1,16.937332392378266,21.843734683875184,11.982440751838737,0,1,8932664,62.39,4.53,NA,111.23,NA
AT,Sep 2021,CWE,19513.1752,4625.5788,0,955.6316,12797.3056,136.48705208333334,1,15.090895321440593,20.749285392752647,9.38116415221797,1,0,8932664,86.09,0.03,NA,112.23,NA
AT,Oct 2021,CWE,21080.7868,5634.25653,0,3945.4828,11118.15512,173.77812836021505,1,8.629159436008678,13.728342478404956,3.490868076316791,1,0,8932664,296.71,0,NA,113.03,104202
AT,Nov 2021,CWE,21534.2592,4629.39334,0,6447.4512,9354.5844,211.55074305555556,1,3.526143129985395,6.783902027027027,0.23780295344380567,1,0,8932664,438.71,0,NA,113.62,NA
AT,Dec 2021,CWE,23804.3384,5693.73349,0,6496.8884,10985.62632,258.9112331989247,1,-0.006647116324535668,2.9500163469921534,-2.97841652136007,1,0,8932664,559.44,0,NA,113.95,NA
AT,Jan 2022,CWE,22968.4436,3163.28026,0,6746.3852,13158.88992,195.6857930107527,1,0.4286012922843026,4.0127126744408335,-3.155302090293023,1,0,8932664,NA,NA,NA,113.93,107623.3
AT,Feb 2022,CWE,21509.5932,3556.42671,0,5463.1732,11829.12256,169.64003720238094,1,2.7829427220178666,7.269420963651733,-1.6843740095087163,1,0,8932664,NA,NA,NA,115.4,NA
AT,Mar 2022,CWE,22595.5664,4483.24235,0,6508.472,10207.37952,294.07542338709675,1,4.202576535463016,10.58785734773879,-2.1522877065622317,0,1,8932664,NA,NA,NA,118,NA
AT,Apr 2022,CWE,20704.9984,1639.3516,0,3294.8528,13544.644400000001,191.00630208333334,1,7.577047085422197,12.864563586097947,2.322814814814815,0,1,8932664,NA,NA,NA,118.75,111173.3
AT,May 2022,CWE,19430.1876,-1.4594500000000052,0,2592.4724,16529.57472,187.70818548387098,0,15.040911248220219,20.770681427753388,9.351360641649958,0,1,8932664,NA,NA,NA,119.6,NA
AT,Jun 2022,CWE,18761.0312,595.98597,0,744.9680000000001,16472.0964,225.9928402777778,0,19.197544445535804,25.17613591465824,13.269761011258149,0,1,8932664,NA,NA,NA,120.99,NA
AT,Jul 2022,CWE,19143.3668,3777.73061,0,1066.3976,14043.45632,368.3868615591398,0,19.96818915582566,26.159331742243438,13.818005540166206,0,1,8932664,NA,NA,NA,121.67,NA
AT,Aug 2022,CWE,18820.1208,4526.05549,0,1025.31,12427.42632,486.5634677419355,0,19.641799544419136,25.19824343675418,14.130368390914297,0,1,8932664,NA,NA,NA,121.52,NA
AT,Sep 2022,CWE,18885.1608,2722.96171,0,3248.902,12101.5288,410.0549965277778,0,NA,17.719393999210425,8.72768456375839,1,0,8932664,NA,NA,NA,124.48,NA
AT,Oct 2022,CWE,11327.548,1417.07505,0,1648.4216,8118.89048,205.90396371632767,0,NA,NA,NA,NA,NA,8932664,NA,NA,NA,126.05,NA
BE,Jan 2019,CWE,8224.588,748.4378,2919.25975,3380.09948,1163.18129,60.476290322580645,1,NA,NA,NA,NA,NA,11554767,475.29,0,NA,105.69,NA
BE,Feb 2019,CWE,7134.72228,682.85093,2818.98378,2531.741245,1088.794855,47.56742559523809,1,NA,NA,NA,NA,NA,11554767,316.84,0,NA,107.62,NA
BE,Mar 2019,CWE,7434.44656,299.83306,3539.75498,2175.143585,1413.602075,37.608655913978495,1,NA,NA,NA,NA,NA,11554767,307.96,0,NA,107.86,NA
BE,Apr 2019,CWE,6819.26446,34.34955,3551.54503,2170.621335,1086.985265,37.924375,1,NA,NA,NA,NA,NA,11554767,217.06,0,NA,108.11,NA
BE,May 2019,CWE,6889.90302,131.11303999999998,3665.65532,2008.146105,1084.067995,38.000094086021505,1,NA,NA,NA,NA,NA,11554767,193.25,0,NA,108.16,NA
BE,Jun 2019,CWE,6549.50911,144.25025,2921.90074,2165.56938,1307.54196,27.485680555555554,1,NA,NA,NA,NA,NA,11554767,24.41,9.39,NA,108.09,NA
BE,Jul 2019,CWE,6670.89783,-495.14234,3583.67731,2375.3962,1178.15602,37.762822580645164,1,NA,NA,NA,NA,NA,11554767,14.36,25.79,NA,107.21,120297
BE,Aug 2019,CWE,6604.66029,-1227.5261,4190.35974,2257.008265,1357.965225,33.694798387096775,1,NA,NA,NA,NA,NA,11554767,5.81,4.54,NA,108.34,NA
BE,Sep 2019,CWE,6666.91314,-1241.3208,4105.58418,2418.02016,1372.24823,33.585,1,NA,NA,NA,NA,NA,11554767,68.48,0,NA,107.7,NA
BE,Oct 2019,CWE,7114.65121,-429.15235,3155.00411,3117.524715,1306.028205,37.61966397849462,1,NA,NA,NA,NA,NA,11554767,177.22,0,NA,108.01,121599
BE,Nov 2019,CWE,7339.19097,-242.23913,3252.11457,3151.707305,1223.107015,44.408208333333334,1,NA,NA,NA,NA,NA,11554767,347.73,0,NA,108.02,NA
BE,Dec 2019,CWE,7539.08388,-143.6836,3719.58265,2420.743675,1523.187485,36.361397849462364,1,NA,NA,NA,NA,NA,11554767,383.95,0,NA,108.38,NA
BE,Jan 2020,CWE,7809.78259,261.88301,3062.49354,2935.250825,1536.289385,37.847150537634406,1,NA,NA,NA,NA,NA,11554767,389.54,0,53.02,107.17,118139
BE,Feb 2020,CWE,7055.27231,101.99366,2860.65233,2324.165715,1797.024845,28.356206896551726,1,NA,NA,NA,NA,NA,11554767,321.49,0,NA,108.74,NA
BE,Mar 2020,CWE,6942.35942,-304.32059,3057.76511,2315.39754,1847.87698,24.022647849462366,1,NA,NA,NA,NA,NA,11554767,345.32,0,NA,108.32,NA
BE,Apr 2020,CWE,5921.83491,-137.99126,2953.01366,1639.36539,1462.58895,14.679916666666667,1,NA,NA,NA,NA,NA,11554767,174.12,0,NA,108.1,103279
BE,May 2020,CWE,6275.60527,-480.78028,3034.35312,2048.42343,1666.66528,15.408602150537634,1,NA,NA,NA,NA,NA,11554767,131.68,0,NA,107.92,NA
BE,Jun 2020,CWE,6303.4462,149.3398,2164.69701,2567.05731,1427.68942,25.590027777777777,1,NA,NA,NA,NA,NA,11554767,37.83,0.91,NA,108.33,NA
BE,Jul 2020,CWE,6324.53451,-462.54729,2185.57782,3201.26703,1433.79913,29.872083333333332,1,NA,NA,NA,NA,NA,11554767,17.12,4.35,NA,109.05,117208
BE,Aug 2020,CWE,6598.27098,417.94347,2044.99931,2796.33102,1393.47241,35.55323924731183,1,NA,NA,NA,NA,NA,11554767,5.13,43.77,NA,107.38,NA
BE,Sep 2020,CWE,6533.71928,165.80933,2590.22597,2510.78623,1335.21559,44.22519444444445,1,NA,NA,NA,NA,NA,11554767,50.44,3.46,NA,108.21,NA
BE,Oct 2020,CWE,6932.94632,371.27417,2545.36145,2349.280855,1730.237945,39.38008064516129,1,11.575313807531382,15.114644351464436,8.538493723849372,1,0,11554767,202.34,0,NA,108.47,118105
BE,Nov 2020,CWE,7014.87378,-32.90553,3013.60099,2619.150015,1488.775975,39.934777777777775,1,8.962083333333334,12.988750000000001,5.339583333333334,1,0,11554767,272.61,0,NA,108.27,NA
BE,Dec 2020,CWE,7491.10587,-235.03613000000001,3281.0637,2898.16737,1642.95788,47.395591397849465,1,5.800000000000001,8.160483870967742,3.334677419354839,1,0,11554767,392.09,0,NA,108.76,NA
BE,Jan 2021,CWE,8051.19993,-259.11566,3883.52944,2936.914145,1544.071495,57.44375,1,3.3995967741935487,5.861693548387097,1.2024193548387097,1,0,11554767,475.08,0,NA,107.82,121069
BE,Feb 2021,CWE,7071.77639,-893.31968,4030.09299,2250.992725,1728.516185,48.5677380952381,1,4.5780612244897965,9.281914893617023,1.3636771300448431,1,0,11554767,362.47,0,NA,109.08,NA
BE,Mar 2021,CWE,7316.54537,-1443.53808,4391.85649,2618.848675,1761.182275,46.6275940860215,1,6.949377593360996,11.79377593360996,2.577593360995851,0,1,11554767,348.33,0,NA,110.07,NA
BE,Apr 2021,CWE,6941.78301,-1074.10962,3766.32526,2621.14949,1653.80136,57.03651388888889,1,7.06125,12.408333333333333,1.7625000000000002,0,1,11554767,341.4,0,NA,110.32,124071
BE,May 2021,CWE,6775.31254,-630.28598,3835.68027,1857.32393,1695.92872,55.613373655913975,1,11.695967741935485,16.931451612903228,6.616532258064517,0,1,11554767,210.6,0,NA,110.62,NA
BE,Jun 2021,CWE,6655.41351,-545.98974,3972.71663,1960.431455,1256.859625,74.49495833333333,1,18.668750000000003,24.43041666666667,13.099583333333333,0,1,11554767,19.99,4.18,NA,111.11,NA
BE,Jul 2021,CWE,6543.13065,-978.82502,4284.29049,1695.168925,1558.154275,77.37272849462366,1,18.2625,23.487903225806452,13.726612903225806,0,1,11554767,3.63,0,NA,110.58,128912
BE,Aug 2021,CWE,6612.80951,-632.18171,4142.08282,1536.27354,1610.93494,79.55462365591399,1,17.200813008130083,22.302439024390246,13.103252032520325,0,1,11554767,17.56,0,NA,112.41,NA
BE,Sep 2021,CWE,6667.82449,415.16825,3589.80244,1446.71913,1254.01619,136.14890277777778,1,16.45375,22.905416666666667,11.193750000000001,1,0,11554767,43.62,0,NA,112.35,NA
BE,Oct 2021,CWE,7062.99818,-397.55793,4145.09263,1529.835865,1873.121295,165.37045698924732,1,11.526970954356846,16.404149377593363,7.584232365145229,1,0,11554767,202.88,0,NA,114.33,132153
BE,Nov 2021,CWE,7243.71448,-268.90956,3541.42809,2765.03876,1297.44599,202.1688611111111,1,6.713333333333334,10.043333333333333,3.4491666666666667,1,0,11554767,354.09,0,NA,115.95,NA
BE,Dec 2021,CWE,7556.55934,-862.76652,4380.55381,2510.86273,1598.72498,245.4303494623656,1,5.896774193548388,8.213306451612903,3.3927419354838713,1,0,11554767,391.27,0,NA,115.93,NA
BE,Jan 2022,CWE,7932.48658,-706.25524,4436.8813,2816.007025,1413.725265,191.56244623655914,1,4.59758064516129,7.224596774193548,1.9064516129032258,1,0,11554767,NA,NA,NA,116.99,136672
BE,Feb 2022,CWE,7004.27881,-475.84374,3668.46748,1729.86227,2093.01901,162.63748511904762,1,6.833632286995516,10.427354260089686,3.18609865470852,1,0,11554767,NA,NA,NA,119.49,NA
BE,Mar 2022,CWE,7159.51203,-170.01389,3641.91728,2176.975545,1560.277525,265.51270161290324,1,7.886307053941909,14.285892116182573,2.048547717842324,0,1,11554767,NA,NA,NA,120.28,NA
BE,Apr 2022,CWE,6718.22151,-447.77976,3650.06772,1657.19991,1944.64735,186.71780555555554,1,9.770044052863437,15.151982378854626,3.63568281938326,0,1,11554767,NA,NA,NA,120.61,138402
BE,May 2022,CWE,6738.26396,-254.44724,3590.22501,1775.548125,1689.459655,176.6657123655914,0,15.176497695852536,21.43963133640553,9.062672811059908,0,1,11554767,NA,NA,NA,121.61,NA
BE,Jun 2022,CWE,6554.72289,23.88988,3008.48022,1901.054355,1724.041505,219.29344444444445,0,17.90952380952381,24.12761904761905,11.860000000000001,0,1,11554767,NA,NA,NA,122.82,NA
BE,Jul 2022,CWE,6423.30884,-329.62011,2781.98551,2333.00913,1707.77635,321.5475940860215,0,19.614746543778804,26.429493087557606,12.629493087557604,0,1,11554767,NA,NA,NA,122.03,NA
BE,Aug 2022,CWE,6534.57206,-986.63907,3326.80061,2660.434375,1602.462675,448.1226075268817,0,20.951982378854627,28.071365638766522,14.1568281938326,0,1,11554767,NA,NA,NA,124.24,NA
BE,Sep 2022,CWE,6400.29392,-880.2141799999999,3536.96651,2290.4066550000002,1479.292955,345.72647222222224,0,NA,20.98949579831933,10.533613445378151,1,0,11554767,NA,NA,NA,125.9,NA
BE,Oct 2022,CWE,3846.79808,-216.30748,1720.8193,1351.16301,922.2042,187.4926651982379,0,NA,NA,NA,NA,NA,11554767,NA,NA,NA,129.3,NA
BG,Jan 2019,SEE,4144.773,-441.74628,1562.287,2579.04,402.567,131.7832258064516,1,NA,NA,NA,NA,NA,6916548,530,0,NA,103.43,NA
BG,Feb 2019,SEE,3456.607,-632.32495,1419.761,2125.547,560.3389999999999,77.55626488095238,1,NA,NA,NA,NA,NA,6916548,389.07,0,NA,103.73,NA
BG,Mar 2019,SEE,3219.676,-613.95737,1572.998,1781.475,515.896,68.7191129032258,1,NA,NA,NA,NA,NA,6916548,264.83,0,NA,103.95,NA
BG,Apr 2019,SEE,2954.721,-298.40409,1502.181,1573.1455,462.1925,81.33513888888889,1,NA,NA,NA,NA,NA,6916548,198.47,0,NA,104.6,NA
BG,May 2019,SEE,2788.27,-158.11709,793.522,1580.4655,617.9465,81.42110215053764,1,NA,NA,NA,NA,NA,6916548,63.36,0,NA,104.76,NA
BG,Jun 2019,SEE,2719.138,-81.94908,1287.482,1026.2135,704.9285,79.1811388888889,1,NA,NA,NA,NA,NA,6916548,3.3,37.14,NA,104.73,NA
BG,Jul 2019,SEE,2919.697,-571.56745,1520.326,1508.706,477.767,108.51744623655914,1,NA,NA,NA,NA,NA,6916548,1.82,46.55,NA,106.13,15135.5
BG,Aug 2019,SEE,2930.161,-663.20541,1543.501,1564.3635,496.6585,101.99181451612903,1,NA,NA,NA,NA,NA,6916548,0.37,76.81,NA,106.33,NA
BG,Sep 2019,SEE,2727.366,-487.93494,1260.363,1605.982,365.704,108.15120833333333,1,NA,NA,NA,NA,NA,6916548,14.81,3.32,NA,105.07,NA
BG,Oct 2019,SEE,2887.082,-402.27061,977.516,2010.707,318.461,109.14684139784946,1,NA,NA,NA,NA,NA,6916548,83.62,0.03,NA,105.23,15659.3
BG,Nov 2019,SEE,3115.316,-579.87785,1508.625,1838.6395,374.0235,81.09444444444445,1,NA,NA,NA,NA,NA,6916548,192.51,0,NA,105.56,NA
BG,Dec 2019,SEE,3634.947,-334.27472,1609.822,1950.349,431.077,83.1432123655914,1,NA,NA,NA,NA,NA,6916548,410.4,0,NA,106.41,NA
BG,Jan 2020,SEE,3933.256,90.23215,1608.049,1912.024,358.381,107.54625,1,NA,NA,NA,NA,NA,6916548,482.08,0,42.46,106.94,15535.4
BG,Feb 2020,SEE,3456.972,-243.25425,1503.6299999999999,1812.0215,403.5935,80.98270114942528,1,NA,NA,NA,NA,NA,6916548,350.41,0,NA,106.95,NA
BG,Mar 2020,SEE,3317.661,-503.40047,1441.745,1468.57,571.215,55.29873655913978,1,NA,NA,NA,NA,NA,6916548,304.18,0,NA,106.46,NA
BG,Apr 2020,SEE,2769.449,-205.03955,994.172,1288.5055,720.4895,48.56090277777778,1,NA,NA,NA,NA,NA,6916548,206.61,0,NA,106.01,14446.9
BG,May 2020,SEE,2537.375,-136.77413,945.808,1052.8275,706.9205,45.685564516129034,1,NA,NA,NA,NA,NA,6916548,65.11,1.78,NA,105.76,NA
BG,Jun 2020,SEE,2546.898,-568.56006,1527.342,982.968,615.393,59.648180555555555,1,NA,NA,NA,NA,NA,6916548,12.05,10.06,NA,105.69,NA
BG,Jul 2020,SEE,2819.1730000000002,-482.07563,1572.592,1192.1305,559.0955,71.94025537634408,1,NA,NA,NA,NA,NA,6916548,0.95,59.64,NA,106.58,15449.7
BG,Aug 2020,SEE,2762.008,-470.46513,1561.442,1228.992,476.359,73.22635752688171,1,NA,NA,NA,NA,NA,6916548,0.25,74.75,NA,107.01,NA
BG,Sep 2020,SEE,2635.092,-349.62339,1261.371,1331.376,417.803,90.38380555555555,1,NA,NA,NA,NA,NA,6916548,7.73,17.64,NA,105.7,NA
BG,Oct 2020,SEE,2846.703,-64.18671,976.706,1519.295,386.687,84.34369623655914,1,NA,NA,NA,NA,NA,6916548,91.29,2.06,NA,105.87,15877.9
BG,Nov 2020,SEE,3293.503,-234.68223,1520.8310000000001,1592.579,389.159,93.32245833333333,1,NA,NA,NA,NA,NA,6916548,330.49,0,NA,105.89,NA
BG,Dec 2020,SEE,3585.657,-153.88365,1564.448,1734.956,419.029,111.01130376344086,1,NA,NA,NA,NA,NA,6916548,396.27,0,NA,106.43,NA
BG,Jan 2021,SEE,3765.413,-265.42663,1532.036,1705.77,755.81,103.98379032258065,1,NA,NA,NA,NA,NA,6916548,457.41,0,NA,106.59,16176.1
BG,Feb 2021,SEE,3350.012,-326.04317,1421.212,1466.2855,729.7245,91.66559523809524,1,NA,NA,NA,NA,NA,6916548,367.82,0,NA,107.16,NA
BG,Mar 2021,SEE,3640.4,-587.74139,1585.337,1760.296,788.912,101.85768817204301,1,NA,NA,NA,NA,NA,6916548,398.52,0,NA,107.33,NA
BG,Apr 2021,SEE,3137.602,-669.19835,1147.325,1838.1725,829.7385,120.761375,1,NA,NA,NA,NA,NA,6916548,249.41,0,NA,108.08,16300.6
BG,May 2021,SEE,2679.454,-561.95928,834.242,1500.147,872.197,117.39680107526881,1,NA,NA,NA,NA,NA,6916548,42.71,0.08,NA,108.23,NA
BG,Jun 2021,SEE,2705.599,-433.13663,1483.847,889.16,753.793,150.91748611111112,1,22.426666666666666,29.58,15.52,0,1,6916548,17.46,32.6,NA,108.2,NA
BG,Jul 2021,SEE,3063.22,-715.43895,1539.139,1509.49,612.121,185.79614247311827,1,23.358064516129033,30.677419354838708,16.26451612903226,0,1,6916548,0.2,94.21,NA,108.97,17144.6
BG,Aug 2021,SEE,3013.52,-814.93399,1546.152,1732.43,502.331,218.1314247311828,1,22.741935483870968,30.503225806451614,15.625806451612902,0,1,6916548,0.22,88.13,NA,109.73,NA
BG,Sep 2021,SEE,2758.178,-1220.57845,1438.578,2119.5705,450.5535,244.60655555555556,1,15.843333333333334,22.543333333333333,9.8966666666666665,1,0,6916548,26.12,2.18,NA,109.92,NA
BG,Oct 2021,SEE,3165.689,-749.9022199999999,802.6080000000001,2627.342,496.511,368.80478494623657,1,8.583870967741936,13.951612903225806,4.170967741935484,1,0,6916548,221.36,0,NA,111.35,18088.1
BG,Nov 2021,SEE,3318.434,-1101.7465,1545.385,2434.9005,445.8915,408.17468055555554,1,6.55,11.506666666666666,2.27,1,0,6916548,278.56,0,NA,112.54,NA
BG,Dec 2021,SEE,3813.845,-1168.16769,1611.3509999999999,2658.8625,716.6295,429.78653225806454,1,1.8838709677419354,5.625806451612903,-1.429032258064516,1,0,6916548,443.28,0,NA,113.44,NA
BG,Jan 2022,SEE,4034.974,-1129.14759,1613.845,2808.4285,747.9415,293.7306182795699,1,-0.24516129032258066,4.119354838709677,-4.667741935483871,1,0,6916548,NA,NA,NA,114.8,19577.8
BG,Feb 2022,SEE,3448.641,-1031.90997,1457.687,2479.2035,548.3935,187.54370535714287,1,2.7464285714285714,8.375,-2.067857142857143,1,0,6916548,NA,NA,NA,116.16,NA
BG,Mar 2022,SEE,3866.962,-1271.93137,1612.493,2775.0775,725.1465,248.94995967741934,1,2.6032258064516127,8.074193548387097,-3.3741935483870966,0,1,6916548,NA,NA,NA,118.59,NA
BG,Apr 2022,SEE,2968.212,-1088.52067,1339.916,2065.634,674.263,174.51991666666666,1,10.03,16.24,4.173333333333333,0,1,6916548,NA,NA,NA,121.12,20351.2
BG,May 2022,SEE,2777.092,-798.05126,879.057,2018.197,696.949,201.80313172043012,0,16.1,23.74516129032258,8.541935483870967,0,1,6916548,NA,NA,NA,122.74,NA
BG,Jun 2022,SEE,2742.42,-1250.0578,1502.324,1781.63,718.857,223.1580972222222,0,19.27857142857143,25.142857142857142,13.735714285714286,0,1,6916548,NA,NA,NA,124.16,NA
BG,Jul 2022,SEE,2949.32849,-1194.66091,1564.7234,1975.062405,611.323245,323.3986827956989,0,NA,NA,NA,NA,NA,6916548,NA,NA,NA,125.18,NA
BG,Aug 2022,SEE,2879.0995,-1196.98965,1560.94955,1923.01805,586.68601,433.2175940860215,0,NA,NA,NA,NA,NA,6916548,NA,NA,NA,126.2,NA
BG,Sep 2022,SEE,2593.92142,-1035.57799,1285.95562,1883.71107,440.4691,375.1267361111111,0,NA,NA,NA,NA,NA,6916548,NA,NA,NA,127.1,NA
BG,Oct 2022,SEE,1589.77469,-242.73148,468.47336,1074.49393,280.07428,233.37909691629955,0,NA,NA,NA,NA,NA,6916548,NA,NA,NA,NA,NA
CH,Jan 2019,CWE,6230.14046,0,2374.195561,2374.195561,2872.287754,62.33737903225806,1,-1.1419354838709679,1.7856630824372761,-4.015770609318997,1,0,8670300,NA,NA,NA,100.63,NA
CH,Feb 2019,CWE,5412.25948,0,2090.905858,2090.905858,2094.045786,48.73372023809524,1,2.6031746031746033,7.703968253968254,-1.6776892430278885,1,0,8670300,NA,NA,NA,100.92,NA
CH,Mar 2019,CWE,5675.12721,0,2379.11402,2379.11402,1675.926584,35.76735215053763,1,5.270250896057348,10.359139784946237,0.5433691756272402,0,1,8670300,NA,NA,NA,101.23,NA
CH,Apr 2019,CWE,5046.7199200000005,0,2259.596388,2259.596388,2225.516873,38.67554166666667,1,7.393308550185874,12.179925650557621,2.9085185185185187,0,1,8670300,NA,NA,NA,101.85,NA
CH,May 2019,CWE,5155.58404,0,2039.899143,2039.899143,2876.634694,38.067083333333336,1,9.20215053763441,13.713978494623657,4.8089605734767025,0,1,8670300,NA,NA,NA,101.63,NA
CH,Jun 2019,CWE,4931.3338,0,916.073676,916.073676,4680.730564,31.85108333333333,1,17.753703703703703,23.148518518518518,12.366296296296296,0,1,8670300,NA,NA,NA,101.82,NA
CH,Jul 2019,CWE,4824.35407,0,2051.821085,2051.821085,5486.352407,37.915631720430106,1,19.34193548387097,24.840501792114697,14.06989247311828,0,1,8670300,NA,NA,NA,101.87,163716.7
CH,Aug 2019,CWE,4694.41105,0,1941.68007,1941.68007,5004.533883,33.850725806451614,1,17.870967741935484,23.15483870967742,13.086021505376344,0,1,8670300,NA,NA,NA,101.94,NA
